Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260511 0348;1.36009;1.3601;1.35985;1.36007;344
20260511 0351;1.36007;1.36025;1.36003;1.36013;293
20260511 0354;1.36013;1.36026;1.36002;1.36003;346
20260511 0357;1.36003;1.36003;1.35966;1.36;621
20260511 0400;1.36;1.36014;1.35984;1.36011;598
20260511 0403;1.36011;1.36031;1.36009;1.36028;393
20260511 0406;1.36028;1.36036;1.3601;1.36017;459
20260511 0409;1.36017;1.3604;1.35997;1.36037;525
20260511 0412;1.36037;1.36037;1.36012;1.3602;449
20260511 0415;1.3602;1.36071;1.36019;1.36069;486
20260511 0418;1.36069;1.36092;1.3605;1.36081;504
20260511 0421;1.36081;1.36145;1.36076;1.36131;722
20260511 0424;1.36131;1.36135;1.3611;1.36111;520
20260511 0427;1.36111;1.36131;1.36103;1.36118;398
20260511 0430;1.36118;1.36142;1.36113;1.36138;451
20260511 0433;1.36138;1.3614;1.36112;1.36121;343
20260511 0436;1.36121;1.3613;1.36094;1.361;359
20260511 0439;1.361;1.36113;1.36088;1.36088;409
20260511 0442;1.36088;1.36111;1.36087;1.36092;429
20260511 0445;1.36092;1.36102;1.36082;1.36083;332
20260511 0448;1.36083;1.36104;1.36072;1.36093;484
20260511 0451;1.36093;1.36094;1.36069;1.36079;323
20260511 0454;1.36079;1.36104;1.36079;1.36098;433
20260511 0457;1.36098;1.36121;1.36073;1.36078;569
20260511 0500;1.36078;1.361;1.36073;1.361;576
20260511 0503;1.361;1.36115;1.361;1.36112;290
20260511 0506;1.36112;1.36123;1.36109;1.3611;222
20260511 0509;1.3611;1.36116;1.36102;1.36111;333
20260511 0512;1.36111;1.36111;1.36089;1.36091;314
20260511 0515;1.36091;1.36108;1.3608;1.36091;344
20260511 0518;1.36091;1.36097;1.36069;1.36084;289
20260511 0521;1.36084;1.36089;1.36068;1.36071;249
20260511 0524;1.36071;1.36094;1.3607;1.3609;320
20260511 0527;1.3609;1.36099;1.36061;1.36062;316
20260511 0530;1.36062;1.36067;1.36037;1.3604;457
20260511 0533;1.3604;1.36047;1.36018;1.36046;332
20260511 0536;1.36046;1.3609;1.36044;1.36089;321
20260511 0539;1.36089;1.3609;1.36048;1.36051;325
20260511 0542;1.36051;1.36058;1.36038;1.36041;354
20260511 0545;1.36041;1.3605;1.36024;1.36029;298
20260511 0548;1.36029;1.3604;1.36016;1.36036;257
20260511 0551;1.36036;1.36036;1.36016;1.36018;280
20260511 0554;1.36018;1.36033;1.35999;1.36012;438
20260511 0557;1.36012;1.36017;1.3599;1.35993;480
